terminal_id,vehicle_id,driver_id,lat,lng,velocity,trace_time
1,1,1,37.38,127.11 ,100,2014-07-03 10:00:00
1,1,1,37.15,127.17 ,100,2014-07-03 10:00:10
1,1,1,37.54,127.16 ,100,2014-07-03 10:00:20
1,1,1,37.33,126.96 ,100,2014-07-03 10:00:30
1,1,1,37.52,126.957,100,2014-07-03 10:00:40
1,1,1,37.11,126.953,100,2014-07-03 10:00:50
1,1,1,37.5,126.65  ,100,2014-07-03 10:01:00
1,1,1,37.49,126.947,100,2014-07-03 10:01:10
1,1,1,37.48,126.943,100,2014-07-03 10:01:20
1,1,1,37.17,126.94 ,100,2014-07-03 10:01:30
1,1,1,37.46,127.037,100,2014-07-03 10:01:40
1,1,1,37.25,126.933,100,2014-07-03 10:01:50
1,1,1,37.44,126.73 ,100,2014-07-03 10:02:00
1,1,1,37.43,126.927,100,2014-07-03 10:02:10
1,1,1,37.12,127.123,100,2014-07-03 10:02:20
1,1,1,37.41,126.92 ,100,2014-07-03 10:02:30
1,1,1,37.4,126.917 ,100,2014-07-03 10:02:40
1,1,1,37.39,126.913,100,2014-07-03 10:02:50
1,1,1,37.38,127.01 ,100,2014-07-03 10:03:00
1,1,1,37.17,126.907,100,2014-07-03 10:03:10
2,2,2,37.36,127.103,100,2014-07-03 10:03:20
2,2,2,37.15,126.9  ,100,2014-07-03 10:03:30
2,2,2,37.34,126.897,100,2014-07-03 10:03:40
2,2,2,37.43,126.893,100,2014-07-03 10:03:50
2,2,2,37.32,126.79 ,100,2014-07-03 10:04:00
2,2,2,37.11,126.887,100,2014-07-03 10:04:10
2,2,2,37.3,126.883 ,100,2014-07-03 10:04:20
2,2,2,37.39,126.88 ,100,2014-07-03 10:04:30
2,2,2,37.18,126.877,100,2014-07-03 10:04:40
2,2,2,37.47,127.073,100,2014-07-03 10:04:50
2,2,2,37.26,126.87 ,100,2014-07-03 10:05:00
2,2,2,37.25,126.867,100,2014-07-03 10:05:10
2,2,2,37.34,127.063,100,2014-07-03 10:05:20
2,2,2,37.13,126.86 ,100,2014-07-03 10:05:30
2,2,2,37.22,127.157,100,2014-07-03 10:05:40
3,3,3,37.21,126.853,100,2014-07-03 10:05:50
3,3,3,37.4,126.85  ,100,2014-07-03 10:06:00
3,3,3,37.39,126.647,100,2014-07-03 10:06:10
3,3,3,37.18,126.843,100,2014-07-03 10:06:20
3,3,3,37.47,126.84 ,100,2014-07-03 10:06:30
3,3,3,37.16,127.037,100,2014-07-03 10:06:40
3,3,3,37.25,126.833,100,2014-07-03 10:06:50
3,3,3,37.14,127.03 ,100,2014-07-03 10:07:00
3,3,3,37.33,126.827,100,2014-07-03 10:07:10
3,3,3,37.42,126.723,100,2014-07-03 10:07:20
3,3,3,37.11,126.82 ,100,2014-07-03 10:07:30
3,3,3,37.4,126.817 ,100,2014-07-03 10:07:40
3,3,3,37.19,126.713,100,2014-07-03 10:07:50
3,3,3,37.48,127.11 ,100,2014-07-03 10:08:00
3,3,3,37.37,126.807,100,2014-07-03 10:08:10
